Wall time,Step,Value
1560781559.155238,0,0.21239618957042694
1560781580.587587,1,0.32700875401496887
1560781601.9558272,2,0.42919209599494934
1560781623.2733119,3,0.5006874799728394
1560781644.6401901,4,0.57064288854599
1560781666.0152519,5,0.6210746169090271
1560781687.5003686,6,0.6635868549346924
1560781708.9215813,7,0.7090688943862915
1560781730.4117894,8,0.7354671955108643
1560781751.9417222,9,0.7690150141716003
1560781773.4047313,10,0.7913435697555542
1560781794.8757634,11,0.809877336025238
1560781816.3283865,12,0.8290711045265198
1560781837.805591,13,0.8428202271461487
1560781859.2262454,14,0.8511247038841248
1560781880.5590327,15,0.8698784708976746
1560781902.0026307,16,0.872958242893219
1560781923.3798468,17,0.8812627196311951
1560781944.7519972,18,0.8885772228240967
1560781966.2563002,19,0.892096996307373
1560781987.777497,20,0.8991915583610535
1560782009.1409173,21,0.9088159203529358
1560782030.7100127,22,0.9072760343551636
1560782052.1323748,23,0.9134356379508972
1560782073.5680332,24,0.9199802279472351
1560782095.0448895,25,0.9183853268623352
1560782116.4248197,26,0.9203101992607117
1560782137.7723055,27,0.9245998859405518
1560782159.171727,28,0.9241599440574646
1560782180.4278076,29,0.9289446473121643
1560782201.7765741,30,0.9309244751930237
1560782223.1803474,31,0.9300445318222046
1560782244.7094457,32,0.9308695197105408
1560782266.0869813,33,0.9313094615936279
1560782287.5571938,34,0.9309794902801514
1560782309.054961,35,0.9365891218185425
1560782330.493266,36,0.9353792071342468
1560782351.8561158,37,0.9389539361000061
1560782373.2586043,38,0.9424187541007996
1560782394.6254327,39,0.9370840787887573
