Wall time,Step,Value
1560781559.1512341,0,4.584970474243164
1560781580.5866473,1,2.2304298877716064
1560781601.9501877,2,1.7663811445236206
1560781623.272611,3,1.5118948221206665
1560781644.6366653,4,1.2946144342422485
1560781666.0128653,5,1.1262258291244507
1560781687.494829,6,0.9608824849128723
1560781708.9201539,7,0.8490450382232666
1560781730.4068155,8,0.7371469736099243
1560781751.9351401,9,0.6545311212539673
1560781773.3978388,10,0.5976204872131348
1560781794.8701603,11,0.5341485738754272
1560781816.3238447,12,0.482509583234787
1560781837.8006914,13,0.4387955963611603
1560781859.2256155,14,0.42012372612953186
1560781880.5585105,15,0.3830823302268982
1560781902.001906,16,0.36383160948753357
1560781923.3796623,17,0.33955687284469604
1560781944.7442453,18,0.3229607045650482
1560781966.2509751,19,0.3069113790988922
1560781987.7768886,20,0.27626317739486694
1560782009.139651,21,0.27547740936279297
1560782030.7089846,22,0.2737821936607361
1560782052.131213,23,0.25239914655685425
1560782073.5608835,24,0.24458716809749603
1560782095.0440023,25,0.24286609888076782
1560782116.4229257,26,0.21670132875442505
1560782137.7716694,27,0.21577031910419464
1560782159.1660328,28,0.2234603315591812
1560782180.427292,29,0.21112297475337982
1560782201.7723372,30,0.20808236300945282
1560782223.1792955,31,0.19577719271183014
1560782244.701831,32,0.202652245759964
1560782266.0856376,33,0.19873563945293427
1560782287.5513253,34,0.19474264979362488
1560782309.054369,35,0.1828993260860443
1560782330.492188,36,0.18311022222042084
1560782351.852921,37,0.1711476892232895
1560782373.2575598,38,0.1680700182914734
1560782394.6244907,39,0.17624753713607788
