Wall time,Step,Value
1560781559.1512895,0,0.1923224925994873
1560781580.5867236,1,0.3170543909072876
1560781601.950266,2,0.407413512468338
1560781623.2726645,3,0.475334107875824
1560781644.6367474,4,0.5401749014854431
1560781666.0129857,5,0.5923665165901184
1560781687.494893,6,0.6413133144378662
1560781708.9202065,7,0.6811307072639465
1560781730.4068823,8,0.7162734270095825
1560781751.9352062,9,0.752406120300293
1560781773.397899,10,0.7736896872520447
1560781794.870204,11,0.7938184142112732
1560781816.3239071,12,0.8152120113372803
1560781837.8007538,13,0.8302810192108154
1560781859.2256854,14,0.8361106514930725
1560781880.5585747,15,0.8561843633651733
1560781902.0019696,16,0.8587691783905029
1560781923.3797154,17,0.8698234558105469
1560781944.744335,18,0.8819226622581482
1560781966.2510614,19,0.8859373927116394
1560781987.7769587,20,0.8889071941375732
1560782009.139848,21,0.8951768279075623
1560782030.7091877,22,0.9010064601898193
1560782052.1314554,23,0.905626118183136
1560782073.560947,24,0.9117857217788696
1560782095.0441124,25,0.9137105941772461
1560782116.4230325,26,0.9187152981758118
1560782137.771735,27,0.9198152422904968
1560782159.1661315,28,0.9178903102874756
1560782180.427335,29,0.9195952415466309
1560782201.7723987,30,0.9237199425697327
1560782223.179354,31,0.9243249297142029
1560782244.7057986,32,0.9259198307991028
1560782266.0857117,33,0.9278447031974792
1560782287.551387,34,0.9249298572540283
1560782309.0544484,35,0.9298795461654663
1560782330.4923115,36,0.9329043626785278
1560782351.8529782,37,0.9331793189048767
1560782373.2576253,38,0.9322444200515747
1560782394.6246858,39,0.9332343339920044
