Wall time,Step,Value
1560781559.1513503,0,0.21564097702503204
1560781580.5868726,1,0.33278337121009827
1560781601.9503243,2,0.43799152970314026
1560781623.2727332,3,0.510256826877594
1560781644.6368058,4,0.576912522315979
1560781666.013082,5,0.6299290657043457
1560781687.4949539,6,0.6809657216072083
1560781708.9202614,7,0.7211681008338928
1560781730.4069495,8,0.7561458349227905
1560781751.9352818,9,0.7850189805030823
1560781773.3979561,10,0.8016278743743896
1560781794.8702521,11,0.8183467984199524
1560781816.3239841,12,0.837815523147583
1560781837.800812,13,0.8495298027992249
1560781859.225754,14,0.8631138801574707
1560781880.5586355,15,0.8738381862640381
1560781902.0020335,16,0.8818677067756653
1560781923.3797762,17,0.8882472515106201
1560781944.7444415,18,0.888687252998352
1560781966.2511306,19,0.8976516723632812
1560781987.7770233,20,0.9045262336730957
1560782009.140037,21,0.9112357497215271
1560782030.7094135,22,0.9124456644058228
1560782052.1315765,23,0.9189352989196777
1560782073.561006,24,0.920035183429718
1560782095.044184,25,0.9230599999427795
1560782116.4231288,26,0.9303745031356812
1560782137.771803,27,0.9291096329689026
1560782159.1661947,28,0.9298795461654663
1560782180.427369,29,0.929714560508728
1560782201.7724602,30,0.932189404964447
1560782223.1794093,31,0.9333993196487427
1560782244.705901,32,0.9380740523338318
1560782266.0862546,33,0.9374140501022339
1560782287.551467,34,0.9366990923881531
1560782309.054529,35,0.9388989806175232
1560782330.4923835,36,0.9411538243293762
1560782351.8530614,37,0.9414837956428528
1560782373.2576919,38,0.9412637948989868
1560782394.6248617,39,0.9402188658714294
