Wall time,Step,Value
1560781559.1512623,0,4.5000901222229
1560781580.5866845,1,2.2363481521606445
1560781601.9502134,2,1.776201605796814
1560781623.2726371,3,1.5310673713684082
1560781644.6367168,4,1.3149584531784058
1560781666.0129008,5,1.145277976989746
1560781687.4948595,6,1.0015417337417603
1560781708.9201808,7,0.8691486120223999
1560781730.406849,8,0.7723985910415649
1560781751.9351733,9,0.6810197830200195
1560781773.3978698,10,0.6184282302856445
1560781794.8701825,11,0.5471445322036743
1560781816.3238761,12,0.49782732129096985
1560781837.8007228,13,0.46115660667419434
1560781859.2256508,14,0.43702852725982666
1560781880.5585425,15,0.3877604901790619
1560781902.0019367,16,0.3732302486896515
1560781923.3796885,17,0.3495306670665741
1560781944.744305,18,0.3266233503818512
1560781966.2510076,19,0.31593140959739685
1560781987.7769234,20,0.2942870259284973
1560782009.139752,21,0.2649248540401459
1560782030.7090797,22,0.27389073371887207
1560782052.1313164,23,0.25257331132888794
1560782073.5609152,24,0.23277361690998077
1560782095.0440667,25,0.2416006475687027
1560782116.4229867,26,0.22752970457077026
1560782137.7716994,27,0.22170011699199677
1560782159.166097,28,0.22187471389770508
1560782180.4273117,29,0.21326503157615662
1560782201.7723663,30,0.21081414818763733
1560782223.1793203,31,0.2111416608095169
1560782244.7057092,32,0.2096705585718155
1560782266.0856748,33,0.20966358482837677
1560782287.5513554,34,0.20447784662246704
1560782309.054407,35,0.19365350902080536
1560782330.4922726,36,0.1907932311296463
1560782351.8529499,37,0.18707582354545593
1560782373.2575908,38,0.17192181944847107
1560782394.6245832,39,0.18168245255947113
