Wall time,Step,Value
1561469463.088869,0,13.887763977050781
1561469475.043761,1,9.432581901550293
1561469486.9702537,2,7.619358062744141
1561469498.6415775,3,6.346707344055176
1561469510.293328,4,5.355198383331299
1561469521.9708352,5,4.5651140213012695
1561469533.6788359,6,3.912771224975586
1561469545.46111,7,3.382429599761963
1561469557.1759825,8,2.9387927055358887
1561469568.9521182,9,2.6044273376464844
1561469580.6461217,10,2.364223003387451
1561469592.3085139,11,2.108203887939453
1561469604.0083559,12,1.910298466682434
1561469615.680127,13,1.7583976984024048
1561469627.36487,14,1.6327742338180542
1561469639.0515456,15,1.519723653793335
1561469650.7099557,16,1.4568300247192383
1561469662.5335314,17,1.338710069656372
1561469674.2353358,18,1.2860918045043945
