Wall time,Step,Value
1561469463.0889149,0,2.80210280418396
1561469475.0437965,1,1.9101674556732178
1561469486.9703026,2,1.544689655303955
1561469498.641625,3,1.2845277786254883
1561469510.2933712,4,1.083253026008606
1561469521.970893,5,0.9283992648124695
1561469533.6788821,6,0.7831215262413025
1561469545.461156,7,0.6791059970855713
1561469557.1760361,8,0.5905824303627014
1561469568.9521937,9,0.5186849236488342
1561469580.6462042,10,0.46821755170822144
1561469592.30857,11,0.4230740964412689
1561469604.0084019,12,0.37082409858703613
1561469615.6801746,13,0.34950995445251465
1561469627.3649144,14,0.32572126388549805
1561469639.0515883,15,0.3018845021724701
1561469650.710001,16,0.29189714789390564
1561469662.5335894,17,0.2556426525115967
1561469674.235386,18,0.2589433193206787
