Wall time,Step,Value
1561469463.0888944,0,2.8131885528564453
1561469475.043781,1,1.9711302518844604
1561469486.970281,2,1.6402132511138916
1561469498.6416051,3,1.3702239990234375
1561469510.2933517,4,1.1717537641525269
1561469521.970868,5,1.0023126602172852
1561469533.6788611,6,0.8734219074249268
1561469545.4611347,7,0.7499639391899109
1561469557.176013,8,0.6523296236991882
1561469568.952162,9,0.5726826786994934
1561469580.6461594,10,0.5105350017547607
1561469592.3085456,11,0.46026328206062317
1561469604.0083823,12,0.4251670241355896
1561469615.6801546,13,0.38662731647491455
1561469627.364894,14,0.355215460062027
1561469639.0515676,15,0.31869539618492126
1561469650.70998,16,0.3104409873485565
1561469662.5335686,17,0.29822707176208496
1561469674.2353635,18,0.2743860185146332
