Wall time,Step,Value
1561469463.0889692,0,2.7577614784240723
1561469475.0438383,1,1.8563109636306763
1561469486.9703596,2,1.4903486967086792
1561469498.6416967,3,1.2438381910324097
1561469510.2934268,4,1.0526905059814453
1561469521.9709754,5,0.8946374654769897
1561469533.678945,6,0.7704287767410278
1561469545.4612336,7,0.6692875623703003
1561469557.1760988,8,0.5782313346862793
1561469568.952249,9,0.509740948677063
1561469580.6462963,10,0.4712086319923401
1561469592.3087125,11,0.4171736538410187
1561469604.0084777,12,0.3870069682598114
1561469615.6802557,13,0.3564664423465729
1561469627.3649933,14,0.3217223584651947
1561469639.0516446,15,0.3014388680458069
1561469650.7100616,16,0.28393858671188354
1561469662.5336466,17,0.2735855281352997
1561469674.235443,18,0.2588118314743042
