Wall time,Step,Value
1561469463.0889328,0,2.770336866378784
1561469475.0438106,1,1.852932095527649
1561469486.9703212,2,1.482628583908081
1561469498.6416585,3,1.2305749654769897
1561469510.2933917,4,1.0323866605758667
1561469521.970916,5,0.8776810765266418
1561469533.6789033,6,0.7450263500213623
1561469545.4611754,7,0.6496511697769165
1561469557.176057,8,0.56606525182724
1561469568.9522145,9,0.5047900676727295
1561469580.6462293,10,0.4639172852039337
1561469592.308624,11,0.4020082354545593
1561469604.0084224,12,0.3616046905517578
1561469615.6802173,13,0.337746262550354
1561469627.3649526,14,0.31132176518440247
1561469639.051608,15,0.29811710119247437
1561469650.7100213,16,0.287514865398407
1561469662.5336084,17,0.24707594513893127
1561469674.235406,18,0.24908702075481415
