Wall time,Step,Value
1561469463.0889509,0,2.7443740367889404
1561469475.0438242,1,1.8420411348342896
1561469486.9703403,2,1.4614779949188232
1561469498.6416779,3,1.2175421714782715
1561469510.2934096,4,1.015114188194275
1561469521.97094,5,0.8620834350585938
1561469533.6789277,6,0.7407727241516113
1561469545.4612148,7,0.6344208121299744
1561469557.1760783,8,0.551584005355835
1561469568.9522324,9,0.49852868914604187
1561469580.6462607,10,0.4503445029258728
1561469592.3086736,11,0.4056845009326935
1561469604.0084574,12,0.36569568514823914
1561469615.680237,13,0.3280477821826935
1561469627.3649735,14,0.31879332661628723
1561469639.0516262,15,0.29958784580230713
1561469650.710041,16,0.283038467168808
1561469662.5336282,17,0.2641788423061371
1561469674.2354243,18,0.24486364424228668
