Wall time,Step,Value
1561469463.0893173,0,0.24957378208637238
1561469475.0442317,1,0.4025188386440277
1561469486.9735918,2,0.5053621530532837
1561469498.646881,3,0.5810922384262085
1561469510.2965467,4,0.6415333151817322
1561469521.9746363,5,0.6939998865127563
1561469533.6821537,6,0.7312874794006348
1561469545.4642968,7,0.7680800557136536
1561469557.179941,8,0.7993180155754089
1561469568.9528396,9,0.8230215311050415
1561469580.6471763,10,0.8351756930351257
1561469592.3092663,11,0.8541494607925415
1561469604.011949,12,0.8655337691307068
1561469615.6838264,13,0.8748281598091125
1561469627.3666222,14,0.8884672522544861
1561469639.0572088,15,0.8938568830490112
1561469650.7134707,16,0.9020513892173767
1561469662.5339952,17,0.9046362042427063
1561469674.238972,18,0.9085959196090698
