Wall time,Step,Value
1561469463.0890412,0,0.24880382418632507
1561469475.0438936,1,0.40625858306884766
1561469486.9704285,2,0.5081669688224792
1561469498.6417696,3,0.5851619839668274
1561469510.2935061,4,0.6547324657440186
1561469521.9710672,5,0.7032392621040344
1561469533.6790147,6,0.7414067983627319
1561469545.4613047,7,0.779904305934906
1561469557.1762056,8,0.8083924651145935
1561469568.952316,9,0.8225815296173096
1561469580.6463718,10,0.8434251546859741
1561469592.3087964,11,0.8567343354225159
1561469604.0085514,12,0.8714183568954468
1561469615.6803286,13,0.8873122930526733
1561469627.3650637,14,0.8862124085426331
1561469639.0517128,15,0.895946741104126
1561469650.7101355,16,0.8974316716194153
1561469662.5337296,17,0.9076610207557678
1561469674.235519,18,0.9139305949211121
